iter	Passed	Remaining
864	62570	9765
865	62648	9693
866	62735	9623
867	62819	9553
868	62909	9483
869	62980	9410
870	63051	9338
871	63121	9265
872	63193	9193
873	63264	9120
874	63337	9048
875	63409	8975
876	63482	8903
877	63552	8830
878	63623	8758
879	63695	8685
880	63769	8613
881	63847	8541
882	63918	8469
883	63990	8396
884	64063	8324
885	64136	8252
886	64209	8180
887	64287	8108
888	64358	8035
889	64431	7963
890	64504	7891
891	64575	7818
892	64646	7746
893	64719	7673
894	64790	7601
895	64862	7528
896	64936	7456
897	65009	7384
898	65081	7311
899	65152	7239
900	65225	7166
901	65294	7094
902	65367	7021
903	65441	6949
904	65511	6876
905	65588	6805
906	65660	6732
907	65729	6659
908	65801	6587
909	65872	6514
910	65945	6442
911	66019	6370
912	66090	6297
913	66161	6225
914	66236	6153
915	66309	6080
916	66383	6008
917	66454	5936
918	66525	5863
919	66594	5790
920	66666	5718
921	66736	5645
922	66808	5573
923	66884	5501
924	66955	5428
925	67025	5356
926	67099	5283
927	67169	5211
928	67241	5139
929	67318	5066
930	67388	4994
931	67460	4922
932	67533	4849
933	67605	4777
934	67676	4704
935	67749	4632
936	67820	4559
937	67891	4487
938	67963	4415
939	68037	4342
940	68109	4270
941	68181	4198
942	68254	4125
943	68328	4053
944	68404	3981
945	68481	3909
946	68552	3836
947	68624	3764
948	68695	3691
949	68769	3619
950	68841	3547
951	68912	3474
952	68984	3402
953	69060	3329
954	69130	3257
955	69202	3185
956	69275	3112
957	69346	3040
958	69419	2967
959	69490	2895
960	69561	2823
961	69632	2750
962	69707	2678
963	69781	2605
964	69854	2533
965	69926	2461
966	69994	2388
967	70068	2316
968	70139	2243
969	70209	2171
970	70282	2099
971	70356	2026
972	70427	1954
973	70503	1882
974	70579	1809
975	70650	1737
976	70724	1664
977	70800	1592
978	70871	1520
979	70942	1447
980	71013	1375
981	71083	1302
982	71153	1230
983	71226	1158
984	71299	1085
985	71371	1013
986	71443	940
987	71518	868
988	71592	796
989	71681	724
990	71768	651
991	71840	579
992	71913	506
993	71984	434
994	72055	362
995	72127	289
996	72197	217
997	72268	144
998	72342	72
999	72411	0
